keywords,labels,weight,distance,range,Notes?,,
chief boss director && fails failed failing,strategic-problems,-180,25,12,,,
veto vetoes vetoed && deal,strategic-problems,-150,25,3,,,
unauthorised unauthorized && data information && disclosure disclosured disclosed disclose,data-breach cybersecurity,-150,30,7,,,
phi pii && leak breach,data-breach cybersecurity,-150,30,3,,,
personal && data && leak leakage,data-breach cybersecurity,-150,30,7,,,
stolen && credit bank && card,data-breach cybersecurity,-150,30,7,,,
fraud fraudulently frauds fraudster fraudsters fraudulent fraudulence && data,data-breach cybersecurity,-70,30,7,,,
security cyber cybersecurity && data information details,cybersecurity,-30,25,4,,,
hackers cyberattack cyberattacks cybercrime cybercrimes cybercriminals && data information details,data-breach cybersecurity,-50,30,7,,,
cyberbullying,cybersecurity,-50,5,7,,,
cyberattack cyberattacks,operational-risk data-breach cybersecurity,-140,25,7,,,
data && authority protection,cybersecurity,-50,15,7,,,
hackers hacker && obtain obtained access accessed gained stole stolen,data-breach cybersecurity,-100,30,7,,,
terror terrorist terrorism narcoterrorism bioterrorism ecoterrorism terrorists,acts-of-violence geopolitical,-110,25,6,,,
infosec infosecurity,cybersecurity,-80,20,7,,,
intrusion intruded intruder intruders && system,cybersecurity,-80,20,7,,,
tax taxes taxation && fraud fraudulent frauds theft investigated investigation investigations scam scams embezzlement embezzlements,tax-evasion,-150,20,5,,,
tax taxes && evade evades evading evaded elude eludes eluding eluded evasion evaded scandal scandals,tax-evasion,-150,20,5,,,
paid pays && no not && taxes tax,tax-evasion,-75,30,5,,,
settled && with && tax && authorities,tax-evasion,-100,20,6,,,
tax taxation && authorities authority && pursuing pursued demand demands,tax-evasion,-150,30,5,,,
tax taxation && authorities authority && examination examinated examines investigating investigated investigates,tax-evasion,-150,30,8,,,
avoid avoiding avoided avoidance && taxation tax taxes,tax-evasion,-150,20,7,,,
dodgy && tax && practices,tax-evasion,-150,20,4,,,
tax vat && avoiders dodgers,tax-evasion,-150,20,5,,,
avoid avoiding avoided && billion billions && taxation tax taxes,tax-evasion,-150,20,6,,,
tax taxation && advantages advantage && cutted cut cuts,tax-evasion,-150,20,6,,,
wipe && out && tax liability,tax-evasion,-150,20,6,,,
paying pays paid && low && taxes tax,tax-evasion,-150,20,6,,,
dodge dodged dodging && taxes tax taxation,tax-evasion,-150,30,6,,,
dodge dodged dodging && vat,tax-evasion,-150,30,2,,,
tax && haven havens,tax-evasion geopolitical,-150,10,2,,,
belastingdienst,tax-evasion,-150,30,5,,,
belasting && ontwijking ontwijkt,tax-evasion,-150,30,5,,,
belastingontwijking belastingontwijkingsconstructies,tax-evasion,-120,30,5,,,
belastingparadijs brievenbusbedrijven,tax-evasion,-150,25,5,,,
geen niet && belasting btw belastingen && betalen betaald betaalt,tax-evasion,-50,25,5,,,
fiscaal && binnen && de && wet,tax-evasion,-50,25,5,,,
belastingafspraken belastingafspraak,tax-evasion,-150,25,5,,,
deceptions deceptive deceptively && tax,tax-evasion,-150,25,5,,,
failed fails failure failing failed non not neglect neglects neglecting neglected refuse refuses refusing refusal && remit remits remitting remitted remittance && tax taxes,tax-evasion internal-wrongdoing,-150,25,6,,,
tax taxation && lawsuits lawsuits,tax-evasion,-120,25,6,,,
tax && sham,tax-evasion,-70,25,6,,,
taxpayer && arrangement arrangements,tax-evasion,-50,25,2,,,
tax && avoidance,tax-evasion,-150,30,1,,,
shadow && economy,tax-evasion,-80,25,3,,,
hidden && taxes taxation,tax-evasion,-120,25,3,,,
settle end resolve resolved && disputes dispute,pos-future-outlook positive,140,10,5,,,
strategic strategical strategy strategies && risk risks,strategic-risk,-90,25,4,,,
long && term && investment,strategic-risk,-20,25,3,,,
financial && distress,financial-issues,-110,25,4,,,
decline declined declines declining && in && market && value,financial-issues,-90,25,4,,,
sales && outlook outlooks forecast forecasts future,future-outlook strategic-risk,-50,25,2,,,
challenging && environment,strategic-risk,-100,30,4,,,
strategic strategical strategically && challenging challenged challenges,strategic-risk,-40,25,4,,,
significant && capital && investment investments,strategic-risk,-50,25,3,,,
important && to && development growth investment investing,strategic-risk,-40,25,3,,,
macroeconomic && uncertainty uncertainties,financial-issues,-50,25,3,,,
company && growth && plan,strategic-risk,-40,25,5,,,
value && added && investing investment investments,strategic-risk,-30,25,5,,,
agreed agrees && to && buy acquire,strategic-risk,-20,25,4,,,
focus && on && growing strategy,strategic-risk,-30,25,3,,,
in && talks && to && sell,mna,-50,25,5,,,
move && was && flagged,strategic-risk,-30,25,4,,,
aggressively && expanding,strategic-risk,-30,25,3,,,
affected && sales,strategic-risk,-40,25,2,,,
strategic && choice choices decision decisions solution solutions,strategic-risk,-30,25,6,,,
business && investment && trigger triggers triggered,strategic-risk,-60,25,5,,,
decided decide elect elected && to && cut && back,strategic-risk,-40,25,6,,,
core && strategy && of,strategic-risk,-20,30,5,,,
company companiesâ€™ company's && behaviour && change changed changes,strategic-risk,-40,25,3,,,
opportunities opportunity && in && other && markets market,strategic-risk,-30,30,5,,,
decided chosen elected && to && postpone,strategic-risk,-40,30,5,,,
negatively && impacted && investor investors && sentiment,strategic-risk,-90,30,4,,,
expansion expanding && into to && new other && markets,strategic-risk,-30,25,4,,,
insufficient poor && strategic && alignment alignments,strategic-risk,-90,25,5,,,
threats && to && competitive && advantage advantages,strategic-risk,-20,25,8,,,
srm && strategic risk management,strategic-risk,-30,25,10,,,
threaten threatens && firm firm's && position,strategic-risk,-40,25,5,,,
business && model modeling modelling models plan planning strategy structure structures system systems && abuse abused abuses abusing antitrust bad conflict conflicts decline declined declines declining decrease decreased decreases decreasing denied denies deny denying disappointed disappointing disregard disregarded disregarding disregards flagrant flagrantly ignore ignored ignores ignoring low lower lowering negative negatively negativity neglect neglecting neglects reduce reduced reducing reject rejected rejecting rejects slow tension unethical violate violated violates violating worse worsened worsening worsens,strategic-risk,-140,15,6,,,
business && model modeling modelling models plan planning strategy structure structures system systems && assessment criticism critique critiqued debate debated debates debating discuss discussed discussing discussion impact impacts question questioned questioning questions risk risks risky transparency,strategic-risk,-90,15,6,,,
business && model modeling modelling models plan planning strategy structure structures system systems && conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing improper issue issues struggle struggles struggling tension tensioned tensions undesired unsolicited unwanted unwelcome,strategic-risk,-110,15,6,,,
business businesses && evolution evolving transform transformation transformed transforms,strategic-risk,-40,25,5,,,
mispricings mispricing misprice,strategic-risk,-110,10,2,,,
brexit,brexit,-60,25,6,,,
brexiteer brexiteers,brexit,-40,25,6,,,
theresa && may,brexit,-70,10,2,,,
boris && johnson,brexit,-70,10,2,,,
ukip,brexit,-60,25,6,,,
uk && independence,brexit,-60,25,2,,,
independence && party,brexit,-60,25,2,,,
dominic && raab,brexit,-60,25,2,,,
hard bad && brexit,brexit,-70,25,5,,,
soft && brexit,brexit,-60,25,5,,,
move moving stop stopping cut cutting slash slashing cease ceasing end ending close closing halt halting freeze freezing terminate terminating reduce reducing discontinue discontiueing shut shutting abort aborting cancel cancelling discharge discharging && operations activities office offices factory factories site sites business businesses store stores lab labs laboratory laboratories warehouse warehouses foundry foundries firm firms refinery refineries mill mills shop shops plant plants department departments facility facilities && brexit,brexit,-100,15,14,,,
leave leaving quit && uk london,brexit,-100,15,5,,,
no && deal && brexit,brexit,-70,25,2,,,
transfer move relocate && staff personnel workers officers assistants agents crew team teams department departments && brexit,brexit,-100,15,14,,,
expats expatriates expat expatriate && move moving leave leaving relocate relocating && uk london,brexit,-60,15,14,,,
disrupt disrupting interrupt interrupting obstruct obstructing && supply && brexit,brexit,-70,15,14,,,
stockpile stockpiling && goods food oil medicine medicines && brexit,brexit,-60,15,14,,,
pulling pulls && out && uk london,brexit,-100,15,14,,,
strike strikes && brexit,brexit,-70,25,8,,,
article && 50,brexit,-70,25,2,,,
cut cutting && off && supply && brexit,brexit,-100,15,14,,,
be is && sanctioned,sanctions,-80,25,8,,,
embargoing embargoes embargoed embargo,sanctions,-100,10,2,,,
eu european us uk department government governments && ban bans banning blacklisted blacklist blacklists,sanctions,-180,15,8,,,
eu european us && freezes freezing,sanctions,-180,15,5,,,
eu european us && imposes imposed && restriction restrictions,sanctions,-180,20,5,,,
eu us && sanctions,sanctions,-60,25,2,,,
sanction && list lists,sanctions,-70,25,2,,,
list lists && sanction,sanctions,-70,10,2,,,
germany netherlands france trump && ban bans banning,sanctions,-70,10,2,,,
sanctioned sanctions && by,sanctions,-30,18,8,,,
sanctioned sanctions sanctionnees sanctionnee sanctionne sanctioning,sanctions,-130,25,2,,,
ban && take takes && effect,sanctions,-70,25,4,,,
admin administation && blacklisting,sanctions,-90,10,6,,,
sanction sanctions && against,sanctions,-110,25,3,,,
trade && defend defends defence protection protect protected,sanctions,-30,25,5,,,
bans ban,sanctions,-70,7,2,,,
law government formal official officials ministry report reports federal senator senators us house ftc cftc fca fcc fda finra doj cnmv justica bafin sec commission committee authority authorities prosecutor prosecutors bafin cysec govt inspector inspectors governmental judicial commisoner council prosecution congressional comminssioners legislative statutory && activated activating activate activates annouces announce announced announcing impose imposed imposes imposing instate instated instates instating issue issued issues issuing order ordered ordering orders ordnet && ban sanction sanctions kreditverbot verbot verbod kredietverbod prohibition,sanctions investigations,-160,25,6,,,
prosecutor prosecutions prosecution prosecuting prosecutes prosecuted prosecute,sanctions investigations,-100,15,2,,,
confiscated confiscate confiscates confiscating confiscation confiscations,sanctions investigations,-80,15,2,,,
case suit charges charged charge forces forcing forced sanction sanctions sanctioning sanctioned && law judge sentence sentenced court ruling ruled trial plea loses losing lost against face faces facing filed files file arquiva legal,sanctions lawsuits,-130,30,6,,,
case suit charges charged charge forces forcing forced sanction sanctions sanctioning sanctioned && hack hacks hacking hacked,sanctions lawsuits,-130,30,6,,,
remedial && sanction sanctions,sanctions sentencing,-180,35,3,,,
ecb && sanctions,sanctions sentencing,-180,12,5,,,
sanctions && enforce enforces enforced enforcing enforcement,sanctions sentencing,-180,25,8,,,
extend extends extending extended prolong prolongs prolonging prolonged broaden broadens broadening broadened widen widens widening widened deepen deepens deepening deepened worsen worsens worsening uphold upholds upholding && ban blockade sanction sanctions,sanctions sentencing,-160,25,8,,,
fine fines fining fined ordered && million billion mln bln bn amercement regulator lead,sanctions sentencing regulatory,-180,25,8,,,
restrictions restriction && imports import,sanctions sentencing regulatory,-120,25,8,,,
eu european us && regulator && fined fines fine,sanctions sentencing regulatory,-180,20,8,,,
ad && valorem,tariffs,-40,25,3,,,
ata && carnet convention,tariffs,-50,20,3,,,
customs && transit transition,tariffs,-60,25,5,,,
duties && taxes,tariffs,-50,20,4,,,
financial political && tariff tariffs,tariffs political-instability,-70,20,4,,,
financial && tariff tariffs,tariffs,-70,25,5,,,
gatt,tariffs,-50,25,2,,,
import imports exports export && tax taxes taxed duties duty tariff tariffs,tariffs geopolitical,-130,25,2,,,
international && trade && tax,tariffs geopolitical,-80,25,5,,,
preferential && duty,tariffs,-40,25,5,,,
rules && of && origin,tariffs,-40,20,3,,,
surcharges surtaxes && imported && good goods,tariffs,-40,20,3,,,
taric,tariffs,-20,25,2,,,
tariff tariffs,tariffs geopolitical,-70,15,6,,,
tariff tariffs && headwind headwinds pressure pressures pressuring war wars resistance problem problematic problems difficulty difficulties trouble troubles concerns exacerbated severe worsening worrying suffer suffers suffering plague plagues plagueing plaging plaguedm struggle struggles struggling debilitating debilitates debilitate fear fears fearing,tariffs geopolitical,-130,25,6,,,
tariff tariffs && war wars,tariffs geopolitical,-190,28,8,,,
wto && rate,tariffs geopolitical,-40,25,5,,,
general && agreement && tariffs && trade,tariffs non-tariffs-barriers geopolitical,-50,25,2,,,
arms && export && control && act,non-tariffs-barriers geopolitical,-70,15,1,,,
ban bans banned && production && of on,non-tariffs-barriers,-90,25,1,,,
blocks blocked && export,non-tariffs-barriers,-100,25,5,,,
boycot boycots boycotted boycotting,non-tariffs-barriers,-10,15,2,,,
buy && national && regulation regulations,non-tariffs-barriers,-70,20,3,,,
certificate && of && origin authenticity,non-tariffs-barriers,-90,25,1,,,
commitment commitments && trading && partner partners,non-tariffs-barriers,-20,25,5,,,
exchange && control,non-tariffs-barriers,-20,20,2,,,
export && subsidies subsidy,non-tariffs-barriers geopolitical,-120,25,3,,,
political && barrier barriers restriction restrictions prohibitions && trading trade,non-tariffs-barriers geopolitical,-70,20,3,,,
financial political && barrier barriers restriction restrictions prohibitions && trading trade,non-tariffs-barriers geopolitical,-150,20,15,,,
impact && on && trade && of,non-tariffs-barriers geopolitical,-50,15,2,,,
import product && quotas quota licenses license deposit deposits,non-tariffs-barriers geopolitical,-100,25,5,,,
imports import && bans ban banned blocked blocks,non-tariffs-barriers geopolitical,-120,25,5,,,
imports import customs && control permit,non-tariffs-barriers geopolitical,-40,25,4,,,
imposed renewed written && quality && conditions,non-tariffs-barriers,-80,15,2,,,
industry industries && bailouts bailout,non-tariffs-barriers,-60,25,5,,,
licensing packaging labeling && rules restrictions restrictions requirements requirement,non-tariffs-barriers,-60,25,5,,,
ministry && of && industry && trade && demanded demands restrcited restricts warns warned urges urged bans banned forbids forbidden,non-tariffs-barriers geopolitical,-80,25,3,,,
nontariff trade && measures barriers barrier,non-tariffs-barriers geopolitical,-50,25,2,,,
ntb && agreement agreements,non-tariffs-barriers geopolitical,-50,25,3,,,
duty && quota quotas,tariffs,-75,25,3,,,
production && quota quotas,non-tariffs-barriers,-100,25,5,,,
protectionist assistance nonprotectionist && policy policies,non-tariffs-barriers,-60,25,4,,,
quota quotas && volume scheme,non-tariffs-barriers,-30,25,3,,,
sanitary phytosanitary && measures,non-tariffs-barriers,-50,25,5,,,
sanitary phytosanitary sps && rules restrictions restricition requirements requirement,non-tariffs-barriers,-10,25,5,,,
state && procurement ownership,non-tariffs-barriers,-10,25,3,,,
state && subsidy subsidies subsidized,non-tariffs-barriers,-120,25,3,,,
stringent && rules && trade cost import export,non-tariffs-barriers,-120,25,3,,,
trade && act acts,non-tariffs-barriers,-50,25,2,,,
trade && agreement agreements,non-tariffs-barriers,0,20,4,,,
trade && agreement && abuse abused abuses abusing antitrust bad conflict conflicts decline declined declines declining decrease decreased decreases decreasing denied denies deny denying disappointed disappointing disregard disregarded disregarding disregards flagrant flagrantly ignore ignored ignores ignoring low lower lowering negative negatively negativity neglect neglecting neglects reduce reduced reducing reject rejected rejecting rejects slow tension unethical violate violated violates violating worse worsened worsening worsens,non-tariffs-barriers,-130,20,8,,,
trade protectionist && policy,non-tariffs-barriers,-20,25,4,,,
unjustified unreasonable low && packaging labelling product products productions && standard standards,non-tariffs-barriers,-140,25,5,,,
unjustified unreasonable low && sanitary && conditions,non-tariffs-barriers,-140,25,5,,,
world && trade && organization && rules restricted restrictions provisions provision,non-tariffs-barriers,-70,15,4,,,
wto && rules restriction restrictions restricted provisions provision,non-tariffs-barriers geopolitical,-70,15,4,,,
administrative authorities authority government legislative ministries ministry politics state regime && cheat deceive defraud dupe embezzle embezzlement exploit falsify filch fool fraud fraudulent mistreat misuse repression maladministration,political-instability,-150,25,6,,,
administrative authorities authority government legislative ministries ministry politics state regime && corruption corrupt corrupted corrupt bribery briberies extortion,political-instability,-150,25,6,,,
administrative authorities authority government legislative ministries ministry politics state regime && fails failure failed,political-instability,-100,25,4,,,
administrative authorities authority government legislative ministries ministry politics state regime && instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles struggling tension tensioned tensions turmoil unrest chaos disorder,political-instability,-130,25,6,,,
administrative authorities authority government legislative ministries ministry politics state regime && riot riots rioting rellen putsch impeach impeached protests protesters protesting demonstrations,political-instability,-110,25,6,,,
administrative authorities authority government legislative ministries ministry politics state regime && scandal scandalous scandals violated violating violation violations wrongdoing,political-instability,-110,25,6,,,
anti && government,political-instability,-30,25,2,,,
antigovernment,political-instability,-30,25,6,,,
autocracy autocracies democracy democracies government constitution antigovernment senate federalism parliament coalition coalitions && incompetent ineffective unfocused devastation impoverishment destitution loathed,political-instability,-150,25,6,,,
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions && cheat deceive defraud dupe embezzle embezzlement exploit falsify filch fool fraud fraudulent mistreat misuse,political-instability,-150,25,6,,,
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions governor && corruption corrupt corrupted corrupt bribery briberies,political-instability,-150,25,6,,,
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions && debate debated debates debating discuss discussed discussing discussion,political-instability,-80,25,6,,,
autocracy autocracies democracy democracies government constitution antigovernment senate federalism parliament coalition coalitions && incompetent ineffective unfocused devastation impoverishment destitution loathing loathed loath,political-instability,-100,25,6,,,
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions && fails failure failed condemnable wrong,political-instability,-120,25,6,,,
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions && instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles struggling tension tensioned tensions turmoil chaos disorder threat fledgling derailing,political-instability,-130,25,6,,,
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions && boycott riot riots rioting rellen putsch impeach impeached protests protesters protesting demonstrations,political-instability,-110,25,6,,,
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions && scandal scandalous scandals violated violating violation violations wrongdoing,political-instability,-110,25,6,,,
urging urged urge && hold && election elections,political-instability,-80,20,6,,,
election elections elected voting voted votes && cheat deceive defraud dupe embezzle exploit falsify filch fool fraud fraudulent mistreat misuse maladministration,political-instability,-150,25,6,,,
election elections elected voting voted votes && debate debated debates debating discuss discussed discussing discussion,political-instability,-80,25,6,,,
election elections elected voting voted votes && falsification falsifications rigged rigging manipulation manipulating manipulate manipular manipulates manipulated scheming schemed abuse abusing abusal abuses abused,political-instability,-120,25,6,,,
election elections elected voting voted votes && instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles,political-instability,-130,25,6,,,
struggling tension tensioned tensions turmoil chaos disorder threat fledgling derailing,political-instability,-130,25,6,,,
election elections elected voting voted votes && scandal scandalous scandals violated violating violation violations wrongdoing,political-instability,-110,25,6,,,
electoral electorate election vote voting && fraud rigging manipulation corrupt corruption corrupt corrupted corrupt bribery briberies bribes,political-instability,-130,25,6,,,
policemen police && corrupt corruption corrupt corrupted corrupt bribery briberies bribes,political-instability,-130,25,6,,,
policemen police && fails failure failed,political-instability,-50,25,4,,,
police policemen && scandal scandalous scandals violated violating violation violations wrongdoing,political-instability,-60,25,4,,,
political government military police && coup,political-instability,-150,25,5,,,
political && arrests arrest,political-instability,-90,25,4,,,
political governmental && corruption corrupt corrupted corrupt bribery briberies bribes,political-instability,-150,25,6,,,
political governmental && fails failure failed,political-instability,-120,25,4,,,
political governmental && debate debated debates debating discuss discussed discussing discussion dissent,political-instability,-100,25,6,,,
political governmental && instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles struggling tension tensioned tensions turmoil chaos disorder,political-instability,-130,25,6,,,
political governmental && scandal scandalous scandals violated violating violation violations wrongdoing,political-instability,-150,25,6,,,
political governmental && cheat deceive defraud dupe embezzle exploit falsify filch fool fraud fraudulent mistreat misuse paralysis shameless maladministration embezzlement,political-instability,-125,25,6,,,
political governmental && falsification falsifications rigged rigging manipulation manipulating manipulate manipular manipulates manipulated scheming schemed abuse abusing abusal abuses abused,political-instability,-120,25,6,,,
political governmental && riot riots rioting rellen putsch impeach impeached protest protests protesters protesting demonstrations,political-instability,-110,25,6,,,
political governmental && transparency,political-instability,10,25,3,,,
riot riots rioting protests protesters protesting,political-instability,-100,25,6,,,
civil && unrest disorder turmoil disturbance disobedience,political-instability,-120,25,6,,,
insurgency insurgents anarchism anarchists,political-instability,-100,25,6,,,
political politics governmental government && unstable unbalanced,political-instability,-90,25,6,,,
political politics governmental government && revolution revolutions,political-instability,-120,25,6,,,
political politics government governmental && upheaval upheavals agitation,political-instability,-120,25,4,,,
political governmental government politics && distorted distort threatened && effectiveness fairness,political-instability,-80,25,6,,,
political government politics governmental && lack no && trust reliability,political-instability,-60,25,3,,,
political government politics governmental && lack no && transparent transparency,political-instability,-60,25,3,,,
against fight fighting boycott boycotting boycotted && political administrative authorities authority government legislative ministries ministry politics state regime democracy government constitution antigovernment senate federalism parliament coalition coalitions,political-instability,-60,25,2,,,
disrupt && governance,political-instability,-70,25,2,,,
partisanship partisan partisans,political-instability,-40,25,1,,,
unconstitutional,political-instability,-60,25,1,,,
public && institution institutions && corruption corrupt corrupted corrupt bribery briberies bribes,political-instability,-150,25,6,,,
public && institution institutions && fails failure failed,political-instability,-150,25,6,,,
public && institution institutions && debate debated debates debating discuss discussed discussing discussion dissent,political-instability,-80,25,6,,,
public && institution institutions && instability conflict conflicted conflicting conflicts confront confronted confronting confronts crises crisis dispute disputed disputes disputing issue issues struggle struggles struggling tension tensioned tensions turmoil chaos disorder,political-instability,-130,25,6,,,
public && institution institutions && scandal scandalous scandals violated violating violation violations wrongdoing,political-instability,-110,25,6,,,
public && institution institutions && cheat deceive defraud dupe embezzle exploit falsify filch fool fraud fraudulent mistreat misuse paralysis shameless maladministration,political-instability,-150,25,6,,,
public && institution institutions && falsification falsifications rigged rigging manipulation manipulating manipulate manipular manipulates manipulated scheming schemed abuse abusing abusal abuses abused,political-instability,-120,25,6,,,
public && institution institutions && riot riots rioting rellen putsch impeach impeached protest protests protesters protesting demonstrations,political-instability,-110,25,6,,,
political && football,political-instability,-50,25,1,,,
ministery cabinet ministers && clinch clash clashes disagree disagreement,political-instability,-75,25,6,,,
ministership && fight battle,political-instability,-25,25,5,,,
minister ministers officer official && corruption corrupt corrupted corrupt bribery briberies bribes,political-instability,-120,25,5,,,
minister ministers officer official && scandal scandalous scandals violated violating violation violations wrongdoing,political-instability,-100,25,5,,,
minister ministers officer official && fails failure failed,political-instability,-60,25,5,,,
minister ministers officer official && cheat deceive defraud dupe embezzle exploit falsify filch fool fraud fraudulent mistreat misuse paralysis shameless maladministration,political-instability,-75,25,5,,,
minister ministers officer official && falsification falsifications rigged rigging manipulation manipulating manipulate manipular manipulates manipulated scheming schemed abuse abusing abusal abuses abused,political-instability,-75,25,5,,,
minister ministers officer official && riot riots rioting rellen putsch impeach impeached protest protests protesters protesting demonstrations,political-instability,-75,25,5,,,
ambassador && corruption corrupt corrupted corrupt bribery briberies bribes scandal scandalous scandals violated violating violation violations wrongdoing leaked leaks,political-instability,-75,15,3,,,
democracy && defend defends defended,political-instability,-75,25,3,,,
populism && increasing increased increase growing grows grew,political-instability,-75,25,5,,,
dissatisfaction discontent && government governmental political politics minister ministers officer officers cabinet,political-instability,-50,25,5,,,
polarization,political-instability,-25,15,5,,,
political && polarization,political-instability,-50,25,5,,,
leaked leak fails failed scandals scandal scandal scandalous scandals violated violating && national && security,political-instability,-70,25,5,,,
president minister ministers primeminister && stepping && down,political-instability,-150,25,5,,,
president minister ministers primeminister && is got && fired removed,political-instability,-100,25,3,,,
president minister ministers primeminister && resigned resignation,political-instability,-100,25,3,,,
political && threat threatening threaten,political-instability,-120,25,7,,,
armed army military && forces defense,political-instability,-50,25,6,,,
militant militants miltary army && fails failure failed,political-instability,-100,25,6,,,
militant militants miltary army && attack attacks attacking threat threats threatening threaten,"political-instability 
 
 acts-of-violence",-150,25,6,,,
militant militants miltary army && scandals scandal scandal scandalous scandals violated violating,"political-instability 
 
 acts-of-violence",-100,25,3,,,
militant militants miltary army && intervention intervented intervents involvement involvements,"political-instability 
 
 acts-of-violence",-100,25,1,,,
military && democracy,political-instability,-50,25,3,,,
insurrections insurrection,political-instability,-90,25,2,,,
russia russian oligarch && secret secretly secretive,political-instability,-130,22,6,,,
impeachment turmoil,political-instability,-50,15,4,,,
eu europa european && to && veto,political-instability,-90,10,3,,,
european eu && kommission commission && warned warns must calls,political-instability,-160,11,4,,,
kill && legislation,political-instability,-80,15,3,,,
foreign && ownership && limit limits,political-instability,-100,10,5,,,
changes && in && ministries embassies,political-instability,-70,15,3,,,
rebellion secessionists secessionist,political-instability,-80,15,6,,,
embassy ministers diplomats && left leave && country sovereign,political-instability,-50,5,4,,,
election elections && trouble problem problems troubles criticises,political-instability,-100,15,5,,,
deteriorating && ties freedom,political-instability,-90,15,5,,,
minister president && demands && explanation,political-instability,-80,15,4,,,
president minister diplomat && resign resignation resigned quit quits deports deport festgenommen arrests arrested l'arrestation kill kills dirt dirty dirtier psychiatric kidnap,political-instability,-80,15,6,,,
prop && up && local && currency,political-instability,-150,10,5,,,
protests protestors protestor protesting protesters protester protested protest,political-instability,-100,20,2,,,
destroy destroying && country targets target,political-instability,-60,15,2,,,
disrupt && votes vote voting,political-instability,-100,10,4,,,
withdraw withdrawn withdrawal && troops,political-instability,-80,5,5,,,
dismiss dismissed fire fired sachs removed && minister government ministers pm president politician politicians,political-instability,-100,15,6,,,
geopolitics geopolitical && risk risks danger dangers,geopolitical,-60,20,7,,,
geopolitics geopolitical && power,geopolitical,-75,20,7,,,
geopolitics geopolitical && conflict,geopolitical,-100,20,7,,,
political && instability && asia,geopolitical,-100,20,10,,,
political && instability && middle && east,geopolitical,-100,20,10,,,
political && instability && afghanistan armenia azerbaijan bahrain bangladesh bhutan brunei cambodia china cyprus georgia india indonesia iran iraq israel japan jordan kazakhstan kuwait kyrgyzstan laos lebanon malaysia maldives mongolia myanmar burma nepal north korea oman pakistan palestine philippines qatar russia saudi arabia singapore south korea sri lanka syria taiwan tajikistan thailand timorleste turkey turkmenistan uae uzbekistan vietnam yemen,geopolitical,-100,20,10,,,
political && instability && africa algeria angola benin botswana burkina burundi cabo verde cameroon chad comoros congo djibouti egypt guinea eritrea eswatini swaziland ethiopia gabon gambia ghana kenya lesotho liberia libya madagascar malawi mali mauritania mauritius morocco mozambique namibia niger nigeria rwanda senegal seychelles sierra somalia sudan tanzania togo tunisia uganda zambia zimbabwe,geopolitical,-100,20,10,,,
political && instability && eu europe france netherlands germany hungary portugal spain belgium austria czech norway denmark sweden,geopolitical,-100,20,10,,,
internatinal global transnational && politics political government governments governmental,geopolitical,-10,20,10,,,
internatinal global transnational && conflict conflicts tension tenstions clashes clash,geopolitical,-100,20,10,,,
border && tensions tensions clashes clash,geopolitical,-110,20,7,,,
geopolitical && disruptions disrupted disrupt,geopolitical,-75,20,7,,,
sanction sanctions && trade trading,geopolitical,-75,20,7,,,
globalisation globalization && problems problem threat threaths threatening,geopolitical,-75,20,7,,,
political && leaders leader && fight fights tensions tensions clashes clash clinch,geopolitical,-75,20,7,,,
geopolitical && instability unstable instable tensions tension clash clashes,geopolitical,-75,20,7,,,
turbulent && geopolitical && environment,geopolitical,-75,20,6,,,
regional region regions && war wars,geopolitical,-100,20,7,,,
middle && east && strategy,geopolitical,-15,20,10,,,
global && order,geopolitical,-60,20,6,,,
global && power,geopolitical,-100,20,3,,,
international global transnational && position positions,geopolitical,-100,20,6,,,
international global transnational && revolution revolutions,geopolitical,-100,20,6,,,
international global transnational && shifting changing && dynamics,geopolitical,-100,20,6,,,
china chinese && us states trump,geopolitical,-50,20,4,,,
international global transnational && crime crimes,geopolitical,-100,20,6,,,
geopolitical global international world && threat threatening threaten,geopolitical,-100,20,6,,,
european europe eu && fragmentation,geopolitical,-75,20,7,,,
dictator dictators,geopolitical,-100,20,7,,,
iran,geopolitical,-50,20,7,,,
north n && korea,geopolitical,-75,40,1,,,
north && korea && missile nuclear,geopolitical,-150,20,5,,,
immigration && law,geopolitical,-80,20,7,,,
emigration migration && high higher highest increase increasing increased billow billowing massive huge untenable big large larger largest grow growing growth worrying up rise rises rising raise raises raised raising greater greatest,geopolitical,-80,20,7,,,
